lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.100000000000000089e+00,7.775816930292176465e-01,1.683209232262003474e-01,3.434389430415412114e-01,1.506598492012496404e-01
2.200000000000000178e+00,7.878615517308698024e-01,1.704637210291114202e-01,3.475405045091621292e-01,1.510753355071286497e-01
2.300000000000000266e+00,7.958987985069798654e-01,1.716554978124305852e-01,3.503433768884445798e-01,1.516453706688591085e-01
2.400000000000000355e+00,8.027942036108942636e-01,1.725697578343232674e-01,3.521075837723976476e-01,1.515212093605466936e-01
2.500000000000000000e+00,8.094104490917992667e-01,1.730682083993795584e-01,3.530182124723383330e-01,1.513362087527014566e-01
2.600000000000000089e+00,8.149983395196652713e-01,1.729828489804758063e-01,3.525832049806789104e-01,1.505887899819229880e-01
2.700000000000000178e+00,8.201410572132437071e-01,1.729485838961826727e-01,3.523536663231738308e-01,1.509735615562593225e-01
2.800000000000000266e+00,8.264730267676465569e-01,1.727133330487103657e-01,3.521831404331319249e-01,1.510275553643807278e-01
2.900000000000000355e+00,8.306583520843622281e-01,1.721177662625873184e-01,3.519734747023611776e-01,1.509241728036776198e-01
3.000000000000000000e+00,8.341159714538436409e-01,1.716234132962733694e-01,3.518361059646740729e-01,1.511671005852757710e-01
3.100000000000000089e+00,8.381193889393790952e-01,1.707040197960111860e-01,3.514866628821212702e-01,1.503653758835359622e-01
3.200000000000000178e+00,8.419111100646509138e-01,1.708385689854891309e-01,3.520220720705438677e-01,1.501609391191019438e-01
3.300000000000000266e+00,8.486027410836818330e-01,1.710691487371525377e-01,3.532615510321207575e-01,1.500920231598109611e-01
3.400000000000000355e+00,8.551010451889592412e-01,1.715033173686640044e-01,3.540580123772185117e-01,1.511048388292619837e-01
3.500000000000000000e+00,8.600221501589679907e-01,1.719633575341342480e-01,3.541248912656951298e-01,1.504244007311127396e-01
3.600000000000000089e+00,8.648181544070541182e-01,1.723765989218055961e-01,3.539306560340787500e-01,1.509860004839662095e-01
3.700000000000000178e+00,8.687156999799914292e-01,1.728467371140725017e-01,3.536432330922810729e-01,1.517870233049051776e-01
3.800000000000000266e+00,8.743108812862460111e-01,1.733018951021768062e-01,3.546683998004772631e-01,1.519259483270683220e-01
3.900000000000000355e+00,8.786294423549786403e-01,1.744802860408221079e-01,3.573311971946954158e-01,1.529332287265010581e-01
4.000000000000000000e+00,8.833823961399419611e-01,1.756757091342049659e-01,3.591061919753987808e-01,1.525363979645093515e-01
4.100000000000000533e+00,8.864892769616795620e-01,1.759337295436173842e-01,3.596282332555413852e-01,1.527272385129668231e-01
4.200000000000000178e+00,8.898142388995762264e-01,1.767091246665664361e-01,3.606825494096295159e-01,1.531651934632557999e-01
4.299999999999999822e+00,8.953142057311437307e-01,1.778146593389734742e-01,3.625858748050759806e-01,1.539538633233166476e-01
4.400000000000000355e+00,8.988232523187210665e-01,1.784763096032096485e-01,3.648670845558883435e-01,1.535317551684314552e-01
4.500000000000000000e+00,9.010051631213277235e-01,1.792130543387594477e-01,3.666488385162870456e-01,1.543518229933807384e-01
4.600000000000000533e+00,9.069720631449632586e-01,1.796068981865488468e-01,3.680858905041609064e-01,1.548146382456855596e-01
4.700000000000000178e+00,9.108699019075180425e-01,1.793949668318141621e-01,3.684603335596511875e-01,1.544261948615208713e-01
4.800000000000000711e+00,9.156089185511393502e-01,1.792315114624063177e-01,3.689727117416300994e-01,1.546152386891340158e-01
4.900000000000000355e+00,9.192141219180800515e-01,1.789291878177705075e-01,3.686036137480476205e-01,1.547119210620908070e-01
5.000000000000000000e+00,9.225146734060565290e-01,1.783667169790072726e-01,3.682778760494522241e-01,1.547496783956106015e-01
5.100000000000000533e+00,9.252040773608917190e-01,1.782042153930849526e-01,3.685125233561263869e-01,1.539422415392246724e-01
5.200000000000000178e+00,9.269077565984040756e-01,1.777512056246027816e-01,3.683595251896565892e-01,1.537320848109283156e-01
5.300000000000000711e+00,9.291370256064025446e-01,1.772592710661847759e-01,3.676154069776314537e-01,1.533875792956055639e-01
5.400000000000000355e+00,9.306671814983665803e-01,1.767732489996662326e-01,3.670673506234717332e-01,1.524348127239050776e-01
5.500000000000000000e+00,9.331818972893720643e-01,1.771738842752165199e-01,3.673047980048054217e-01,1.524061145654660721e-01
5.600000000000000533e+00,9.370102751081227366e-01,1.784901473354156831e-01,3.694374273628505123e-01,1.541519249395052193e-01
5.700000000000000178e+00,9.412887506300131601e-01,1.798287801585864432e-01,3.710999634468176711e-01,1.542470993700410520e-01
5.800000000000000711e+00,9.434515429817559307e-01,1.811402130573082914e-01,3.730353483577747431e-01,1.550002420327883934e-01
5.900000000000000355e+00,9.461715599228175400e-01,1.816342287958761237e-01,3.748769103656616197e-01,1.548296116266586198e-01
6.000000000000000000e+00,9.517965522535500877e-01,1.815445128050338086e-01,3.758460415724087511e-01,1.547067945009409640e-01
6.100000000000000533e+00,9.548073450991191313e-01,1.811666743952254910e-01,3.760191127417721879e-01,1.549793764147126274e-01
6.200000000000000178e+00,9.562811060760982862e-01,1.808099145395205831e-01,3.759938621845302364e-01,1.547680036911549817e-01
6.300000000000000711e+00,9.604663108697929497e-01,1.806602893186436964e-01,3.758021645476117834e-01,1.547047802217534074e-01
6.400000000000000355e+00,9.620548761662272019e-01,1.805079179490222951e-01,3.757231151398539581e-01,1.548218942213140381e-01
6.500000000000000000e+00,9.655719789709661383e-01,1.809069723618045022e-01,3.762750011502732916e-01,1.542926835690495990e-01
6.600000000000000533e+00,9.692695315425695624e-01,1.814387871592255952e-01,3.775587093191558608e-01,1.552854069289091865e-01
6.700000000000000178e+00,9.741261685954050176e-01,1.819860280562279609e-01,3.790864543520114927e-01,1.556717647125581139e-01
6.800000000000000711e+00,9.798601600386988020e-01,1.825531119932908009e-01,3.805258677710696702e-01,1.563787631576226689e-01
6.900000000000000355e+00,9.835292386475286142e-01,1.832559730465193326e-01,3.815948409179037437e-01,1.571025960124597942e-01
