lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.020000000000000284e+01,1.844254644836643919e+00,2.411379740375436675e-01,5.314157797592625743e-01,1.839283048253200492e-01
2.030000000000000071e+01,1.842849880762268411e+00,2.397102848301431166e-01,5.299239484660185351e-01,1.824622549925682680e-01
2.040000000000000213e+01,1.841617471936214390e+00,2.379495641414180462e-01,5.277118283523035691e-01,1.814435258280332752e-01
2.050000000000000000e+01,1.847761226670543655e+00,2.373511901388047352e-01,5.281542947051355297e-01,1.817623491472162012e-01
2.060000000000000142e+01,1.854607561254467685e+00,2.375531895030295049e-01,5.295359566622811487e-01,1.815874862851524496e-01
2.070000000000000284e+01,1.856943525490499125e+00,2.377240901060706790e-01,5.289459639362668053e-01,1.815859494040724109e-01
2.080000000000000071e+01,1.855671687689781635e+00,2.389720610256193534e-01,5.291100412287158550e-01,1.808482521336166049e-01
2.090000000000000213e+01,1.856926676737696180e+00,2.406076198034993729e-01,5.300283597006545389e-01,1.814454334053402229e-01
2.100000000000000000e+01,1.862183627393387164e+00,2.423654961304808897e-01,5.331095414514426256e-01,1.837283189785333670e-01
2.110000000000000142e+01,1.863494871810535303e+00,2.429906669748181092e-01,5.341696477679759303e-01,1.838260799236891008e-01
2.120000000000000284e+01,1.867628540022630235e+00,2.441788669012967539e-01,5.357844362702881558e-01,1.855203435945795287e-01
2.130000000000000071e+01,1.868918201754113717e+00,2.445182228733893681e-01,5.366924626226931005e-01,1.852181744801762175e-01
2.140000000000000213e+01,1.870487852370839255e+00,2.443359045074342262e-01,5.388785568989815644e-01,1.849400099588887625e-01
2.150000000000000000e+01,1.875637636554652099e+00,2.441641789145163333e-01,5.406167646232015178e-01,1.834930511524796304e-01
2.160000000000000142e+01,1.876492907981574421e+00,2.430050755659062256e-01,5.408712119050460565e-01,1.823096439281207681e-01
2.170000000000000284e+01,1.877988537880302511e+00,2.430039319099394912e-01,5.421931552490268924e-01,1.814593795135066023e-01
2.180000000000000071e+01,1.881679587445743929e+00,2.435877545657568477e-01,5.438394635207608463e-01,1.817615343027140784e-01
2.190000000000000213e+01,1.886800126154674739e+00,2.443160322012659924e-01,5.447528717314470414e-01,1.823707142801292425e-01
2.200000000000000000e+01,1.889555410093743948e+00,2.446254629187719909e-01,5.454975418788927666e-01,1.828164002837928681e-01
2.210000000000000142e+01,1.893050300245843864e+00,2.450821234096623169e-01,5.470132655244059894e-01,1.840795461388192167e-01
2.220000000000000284e+01,1.899160633056480973e+00,2.460321654834796978e-01,5.494968259112492648e-01,1.847388319621209307e-01
2.230000000000000071e+01,1.900146700474163008e+00,2.476283272937794544e-01,5.506785164920554587e-01,1.863567481833122985e-01
2.240000000000000213e+01,1.900670522150343267e+00,2.483302534558002594e-01,5.515791630817216129e-01,1.858619306928273318e-01
2.250000000000000000e+01,1.903954161492106723e+00,2.490849072571736100e-01,5.530747951492712700e-01,1.868020726099830775e-01
2.260000000000000142e+01,1.910566754874026163e+00,2.499694504667936690e-01,5.543818847747623568e-01,1.880059548911991729e-01
2.270000000000000284e+01,1.916194496442534145e+00,2.513940557251934105e-01,5.555491254563639236e-01,1.884989066335198693e-01
2.280000000000000071e+01,1.918972262929347306e+00,2.521409545730073920e-01,5.563648555720381861e-01,1.895080664942253024e-01
2.290000000000000213e+01,1.921092581251458320e+00,2.529038306389233548e-01,5.580839089595968083e-01,1.901944673329719337e-01
