stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.890000000000000213e+01,1.653063964648247861e+02,1.370650441082466386e+01,1.413575065619899362e+01,3.632480091362440788e+01
1.894999999999999929e+01,1.629797762589525973e+02,1.358198754446048184e+01,1.423071469472491479e+01,3.638310897397197863e+01
1.900000000000000000e+01,1.628708386470596565e+02,1.362017072004730522e+01,1.442035262010074881e+01,3.634805862422197009e+01
1.905000000000000071e+01,1.618876511526942750e+02,1.367348928746019077e+01,1.450265311754415443e+01,3.635452593263897825e+01
1.910000000000000142e+01,1.617866203264950968e+02,1.371682187704193190e+01,1.457860960578481802e+01,3.620260784929358522e+01
1.915000000000000213e+01,1.623633168911205189e+02,1.375969148375799911e+01,1.489770490719515017e+01,3.612876212620752625e+01
1.919999999999999929e+01,1.588270050310556485e+02,1.361271738474478887e+01,1.468484025249055058e+01,3.615759845722022447e+01
1.925000000000000000e+01,1.581655870604616041e+02,1.364822410366824279e+01,1.473613631922149558e+01,3.609457346649071496e+01
1.930000000000000071e+01,1.583364085827231520e+02,1.362023836224755513e+01,1.410056252856638004e+01,3.635593858674624101e+01
1.935000000000000142e+01,1.605647552603017516e+02,1.348161640445163378e+01,1.363396904094885009e+01,3.645833879189550686e+01
1.940000000000000213e+01,1.600879059070176993e+02,1.336846024444250780e+01,1.331224136088480492e+01,3.647939896940433613e+01
1.944999999999999929e+01,1.602357708548421442e+02,1.306949315024324676e+01,1.338361620254587159e+01,3.666195413679491821e+01
1.950000000000000000e+01,1.599127175422888740e+02,1.266950011135303633e+01,1.315072309017229735e+01,3.679547696884716856e+01
1.955000000000000071e+01,1.613789274529362956e+02,1.244419656588970291e+01,1.292224806667017134e+01,3.673358975930056403e+01
1.960000000000000142e+01,1.598370743082594743e+02,1.248565144000321503e+01,1.345991834081735128e+01,3.683711510050333970e+01
1.965000000000000213e+01,1.603698456411651989e+02,1.293219111514101805e+01,1.368212513042146661e+01,3.681170515884191019e+01
1.969999999999999929e+01,1.602774106893851922e+02,1.292668267991120779e+01,1.384345721325087730e+01,3.691639322995774108e+01
1.975000000000000000e+01,1.590021441075876112e+02,1.298594730626963489e+01,1.379151679832889243e+01,3.666376382691861835e+01
1.980000000000000071e+01,1.590840186763466022e+02,1.291042366161777721e+01,1.405952476901263282e+01,3.684157739903258744e+01
1.985000000000000142e+01,1.626941459929462894e+02,1.295027107602584060e+01,1.417738749977771739e+01,3.673118270054324341e+01
1.990000000000000213e+01,1.619444428385091328e+02,1.306005190726498988e+01,1.360101929721600378e+01,3.677653551563513190e+01
1.994999999999999929e+01,1.619787749741419418e+02,1.265782459895076073e+01,1.296597982575173980e+01,3.731589696756184793e+01
2.000000000000000000e+01,1.622613214139743718e+02,1.268758893584166003e+01,1.277850173707551562e+01,3.729860149682207293e+01
2.005000000000000071e+01,1.626776789663415457e+02,1.258485676792979824e+01,1.247885409466671014e+01,3.704797880222748319e+01
2.010000000000000142e+01,1.622500142915816923e+02,1.271616630516920843e+01,1.275940900262619415e+01,3.643819493206665783e+01
2.015000000000000213e+01,1.635643590427126242e+02,1.257880479475070068e+01,1.241729978969055104e+01,3.635369378408542929e+01
2.019999999999999929e+01,1.642448319229878280e+02,1.259299922791861803e+01,1.205574899324843052e+01,3.635364564008062871e+01
2.025000000000000000e+01,1.640094262315230367e+02,1.273663771516208776e+01,1.202307060294027252e+01,3.635800318798259667e+01
2.030000000000000071e+01,1.651201837599826661e+02,1.268504232503276619e+01,1.237492931014819142e+01,3.677135513593685090e+01
2.035000000000000142e+01,1.622351970328798529e+02,1.276052590937605835e+01,1.241202248583352308e+01,3.697973452609343781e+01
2.040000000000000213e+01,1.619180032960668143e+02,1.283431431777700560e+01,1.249539719766287327e+01,3.719535135180298369e+01
2.044999999999999929e+01,1.627004145474562904e+02,1.279346231325471450e+01,1.277390423902259009e+01,3.722484715142570622e+01
2.050000000000000000e+01,1.654744784138102318e+02,1.275744986681836401e+01,1.255134296463820753e+01,3.732603602041157131e+01
2.055000000000000071e+01,1.668329964559687539e+02,1.243790184481737349e+01,1.298694115365460711e+01,3.768584289351345973e+01
2.060000000000000142e+01,1.642647418742497223e+02,1.243133646082145738e+01,1.280976527085407213e+01,3.774325639437273594e+01
2.065000000000000213e+01,1.638808173476288061e+02,1.237010686043421792e+01,1.273333185359327047e+01,3.770831669999260072e+01
2.069999999999999929e+01,1.652894148813839195e+02,1.243181956170497493e+01,1.268993994030523709e+01,3.758693052433986281e+01
2.075000000000000000e+01,1.673546059276843607e+02,1.248075437624955875e+01,1.273861964545171865e+01,3.752015117400190292e+01
2.080000000000000071e+01,1.692161921062561021e+02,1.254983623188362607e+01,1.254844513844774490e+01,3.765095056209661095e+01
2.085000000000000142e+01,1.713964050379207151e+02,1.284469690370842621e+01,1.218762539171130932e+01,3.779047515732067808e+01
2.090000000000000213e+01,1.712570098983357525e+02,1.291604715886232846e+01,1.217360179093711814e+01,3.786295703470861440e+01
2.094999999999999929e+01,1.705091840532171261e+02,1.307058437998030875e+01,1.259848873383697487e+01,3.776268713943017019e+01
2.100000000000000000e+01,1.705176580128159571e+02,1.287072094881462014e+01,1.240853034341890826e+01,3.760310317757322451e+01
2.105000000000000071e+01,1.683312175498303986e+02,1.284899581085034903e+01,1.235445274658884252e+01,3.777245691062213950e+01
2.110000000000000142e+01,1.696208535271720734e+02,1.314581187972995657e+01,1.277283473951692194e+01,3.784983463680089955e+01
