lag_ps,Li_A2,P_A2,S_A2
2.500000000000000000e+00,2.455571384639045007e+00,3.094223356096582611e-01,5.732429906672088515e-01
2.600000000000000089e+00,2.514858893765124837e+00,3.118072542510342271e-01,5.786356164616780484e-01
2.700000000000000178e+00,2.574370762081866548e+00,3.136766578265855476e-01,5.834874713160179693e-01
2.800000000000000266e+00,2.634287797458104485e+00,3.159900090287571239e-01,5.885251131934645663e-01
2.900000000000000355e+00,2.692566178293068102e+00,3.181210309515923873e-01,5.934829248560604675e-01
3.000000000000000000e+00,2.749855825160860689e+00,3.206496010929793528e-01,5.990546449345041102e-01
3.100000000000000089e+00,2.807188456512431429e+00,3.237071854110747937e-01,6.046400933530108324e-01
3.200000000000000178e+00,2.863268472992164693e+00,3.268462856645679704e-01,6.094360154618512215e-01
3.300000000000000266e+00,2.918347339457404210e+00,3.286678208020093472e-01,6.140390292465752742e-01
3.400000000000000355e+00,2.974555533432226895e+00,3.305763854884922193e-01,6.180030896464875356e-01
3.500000000000000000e+00,3.028770966313245605e+00,3.321001347218942579e-01,6.214192341905258044e-01
3.600000000000000089e+00,3.082728841583650681e+00,3.331704448352151293e-01,6.247767885942079324e-01
3.700000000000000178e+00,3.137672384620500576e+00,3.342631882949241851e-01,6.277461451053112373e-01
3.800000000000000266e+00,3.191682853918424545e+00,3.348053685166854643e-01,6.308628460054063192e-01
3.900000000000000355e+00,3.245897255808981807e+00,3.358414243291773515e-01,6.337606814432903413e-01
4.000000000000000000e+00,3.300166132908288308e+00,3.379195028156563585e-01,6.376540242976617145e-01
4.100000000000000533e+00,3.355117431407431017e+00,3.400486833936186559e-01,6.419968591827533988e-01
4.200000000000000178e+00,3.412628068736862641e+00,3.417809430274810212e-01,6.461411187191078431e-01
4.299999999999999822e+00,3.467157773573430024e+00,3.430469525488232252e-01,6.493020513843711372e-01
4.400000000000000355e+00,3.521234250723548787e+00,3.433752159348458233e-01,6.522911921648999467e-01
4.500000000000000000e+00,3.573905171509593082e+00,3.439535620551642525e-01,6.541758274959318387e-01
4.600000000000000533e+00,3.626737579270698841e+00,3.447983379684811944e-01,6.564755871273533216e-01
4.700000000000000178e+00,3.681305704578505811e+00,3.458351196407919992e-01,6.592465473109581087e-01
4.800000000000000711e+00,3.738134959548125025e+00,3.477309143440396322e-01,6.628965345811936860e-01
4.900000000000000355e+00,3.792295107530722298e+00,3.499179842789044703e-01,6.665805263593633789e-01
5.000000000000000000e+00,3.849736344964345580e+00,3.515553154561462668e-01,6.707634212381237138e-01
5.100000000000000533e+00,3.903355010053636498e+00,3.533899451293734395e-01,6.737733049882966840e-01
5.200000000000000178e+00,3.957462087539459272e+00,3.551575091553648145e-01,6.769451830717579943e-01
5.300000000000000711e+00,4.011294754923196315e+00,3.566193959658816581e-01,6.800420723791272826e-01
5.400000000000000355e+00,4.064564144806137591e+00,3.577142508255420905e-01,6.828571345319309760e-01
5.500000000000000000e+00,4.117644459238929855e+00,3.586147810156967708e-01,6.849710717738335397e-01
5.600000000000000533e+00,4.172467571694879140e+00,3.590444859417720735e-01,6.869819567700814478e-01
5.700000000000000178e+00,4.225695564621375411e+00,3.593565740611090464e-01,6.887914413982695327e-01
5.800000000000000711e+00,4.277735693789857407e+00,3.593416796601792695e-01,6.903268971298285317e-01
5.900000000000000355e+00,4.331036474294705840e+00,3.597897831252831469e-01,6.927826663220703063e-01
6.000000000000000000e+00,4.385130426986190599e+00,3.610951046254017860e-01,6.959030402661772197e-01
6.100000000000000533e+00,4.437961369093256891e+00,3.622009310903209212e-01,6.985786443780084287e-01
6.200000000000000178e+00,4.490536722307380657e+00,3.634145293431444435e-01,7.009683973439998494e-01
6.300000000000000711e+00,4.544738241379302934e+00,3.642556388966947112e-01,7.037785722944110978e-01
6.400000000000000355e+00,4.598642565989761621e+00,3.653845171700479955e-01,7.059027089425636836e-01
6.500000000000000000e+00,4.651672255229811981e+00,3.662981251542037908e-01,7.083946341971223415e-01
