time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
1.945000000000000284e+01,8.130013989300000503e+02,-2.585497300099999854e-02,-4.783568335937499860e+00,1.482529064086283599e+00
1.950000000000000000e+01,8.501860307900000180e+02,-1.088462067004000028e-01,-4.788244058958333049e+00,1.473673222124427529e+00
1.955000000000000071e+01,7.606659142600000223e+02,-3.715410719603333689e-01,-4.777867543802083894e+00,1.468613003519578797e+00
1.960000000000000142e+01,8.008526861699999699e+02,2.143105581016666594e-01,-4.782747533645832938e+00,1.471747754212189285e+00
1.965000000000000213e+01,8.300464062500000182e+02,-9.282300103166667149e-02,-4.786238438437499632e+00,1.472768709943219623e+00
1.970000000000000284e+01,7.952735216099999889e+02,1.726067187213666809e-01,-4.784311120208333712e+00,1.476458066952738291e+00
1.975000000000000000e+01,7.878364611800000148e+02,2.928888079333333630e-02,-4.789491685781249508e+00,1.477768729834883166e+00
1.980000000000000071e+01,7.943671241600000030e+02,6.933214660000000529e-02,-4.797280199583333626e+00,1.477812859341031571e+00
1.985000000000000142e+01,7.282411279100000456e+02,-6.522916390333334535e-02,-4.793239082291666620e+00,1.475136291987883652e+00
1.990000000000000213e+01,8.275808701700000256e+02,1.640753552453333153e-01,-4.806627914322916695e+00,1.473965095194103236e+00
1.995000000000000284e+01,7.818044897900000478e+02,6.218348627233333259e-02,-4.801102945312499592e+00,1.467245662320297184e+00
2.000000000000000000e+01,7.844935156599999573e+02,-3.458916540679999457e-02,-4.800235386458333586e+00,1.456955641857077044e+00
2.005000000000000071e+01,7.319689355499999692e+02,-1.000882119206666782e-01,-4.789076132447916301e+00,1.448526868602654449e+00
2.010000000000000142e+01,8.533566997499999616e+02,-2.380883603239999646e-01,-4.793414096822917081e+00,1.444125883246676345e+00
2.015000000000000213e+01,8.900671523099999831e+02,-2.810287788466667158e-02,-4.792384001562500551e+00,1.446143848768009832e+00
2.020000000000000284e+01,8.031012574200000245e+02,-2.422941934700000022e-01,-4.778930181406249922e+00,1.448357490793070079e+00
2.025000000000000000e+01,7.913420754300000226e+02,1.115245201249999846e-01,-4.776926198697917236e+00,1.458405748492092924e+00
