lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
6.000000000000000000e+00,1.264992189275993884e+00,5.252738578456224161e-01,1.195552046634978272e+00,3.709851489606491026e-01,5.788297442210671440e-01
6.100000000000000533e+00,1.271431929533133998e+00,5.263538056003836951e-01,1.200253487179145706e+00,3.716800239841964726e-01,5.806553025517761091e-01
6.200000000000000178e+00,1.277934790817406352e+00,5.276502626477185265e-01,1.205609880851735038e+00,3.720064552946506509e-01,5.819664615904651672e-01
6.300000000000000711e+00,1.282955142203035193e+00,5.293542254766254729e-01,1.211990377830373111e+00,3.729180854465154460e-01,5.841394015643721627e-01
6.400000000000000355e+00,1.290489137570309142e+00,5.310002893995455775e-01,1.218451788985567052e+00,3.743367196443884160e-01,5.864025512934295525e-01
6.500000000000000000e+00,1.299875971898459825e+00,5.328362839162574804e-01,1.224892242536308240e+00,3.762873580417344099e-01,5.892664460810222993e-01
6.600000000000000533e+00,1.308693710993236614e+00,5.345568350266056701e-01,1.230868318987506038e+00,3.785981511194906335e-01,5.923910994215320081e-01
6.700000000000000178e+00,1.316571680109591025e+00,5.356585087188048266e-01,1.235692378073918851e+00,3.800602614145069391e-01,5.946809732266934434e-01
6.800000000000000711e+00,1.323388675673887072e+00,5.372751298475647586e-01,1.240799198138223591e+00,3.817850210946999168e-01,5.970649559801818329e-01
6.900000000000000355e+00,1.329317471258624206e+00,5.392410182476036207e-01,1.246728474491663796e+00,3.834337756766481031e-01,5.996323569091260852e-01
7.000000000000000000e+00,1.336417571767051671e+00,5.414911002970606013e-01,1.253386623022535673e+00,3.849402767295911354e-01,6.021852869555300858e-01
7.100000000000000533e+00,1.343676771562779981e+00,5.443338271711520848e-01,1.260579403994577907e+00,3.865316685127970775e-01,6.048163554252079521e-01
7.200000000000000178e+00,1.350345022634907410e+00,5.475486317408321257e-01,1.267936113833177503e+00,3.876627760423708713e-01,6.070972728693351250e-01
7.300000000000000711e+00,1.357742295667680343e+00,5.512240758781441485e-01,1.275261535978971628e+00,3.892796548475010998e-01,6.090700018902249768e-01
7.400000000000000355e+00,1.370363789425445011e+00,5.549844843972351338e-01,1.282929760886105885e+00,3.915424495562589979e-01,6.129685450567233795e-01
7.500000000000000000e+00,1.380015534326755944e+00,5.584896846674766158e-01,1.290011976601632693e+00,3.942813580694320419e-01,6.158624148356929284e-01
7.600000000000000533e+00,1.386202267155551393e+00,5.614384357276385185e-01,1.296342168706280162e+00,3.967839066323453068e-01,6.204091744711889289e-01
7.700000000000000178e+00,1.394485648520565890e+00,5.636072892030822290e-01,1.302056242560981181e+00,3.990095028039196690e-01,6.230679856339397249e-01
7.800000000000000711e+00,1.402990716532900084e+00,5.660152045438149315e-01,1.307547518275346876e+00,4.013945833264598861e-01,6.264389995075652084e-01
7.900000000000000355e+00,1.410786136663058965e+00,5.688163938056950419e-01,1.313753869753293779e+00,4.046684087936945340e-01,6.300434991511050242e-01
8.000000000000000000e+00,1.420284582829261621e+00,5.717688965946268187e-01,1.320910523543352699e+00,4.078283366839274837e-01,6.348518533382832008e-01
8.099999999999999645e+00,1.429206308415350124e+00,5.747508533210899939e-01,1.327393468779867636e+00,4.113051071528370239e-01,6.393423297768113800e-01
8.200000000000001066e+00,1.436217841868580924e+00,5.776278824000260492e-01,1.333727790605736541e+00,4.142936105416584747e-01,6.431337872265702194e-01
8.300000000000000711e+00,1.444599869653284907e+00,5.804667695016183515e-01,1.341109845883154517e+00,4.168759591079231330e-01,6.460983930791711627e-01
8.400000000000000355e+00,1.453401698568266287e+00,5.834458649697297217e-01,1.347986008483745834e+00,4.189990634814048098e-01,6.489043403112406683e-01
8.500000000000000000e+00,1.462114623983099104e+00,5.862099625684923376e-01,1.354080889808873867e+00,4.203924171901954887e-01,6.510997497430642822e-01
8.599999999999999645e+00,1.469953990096742436e+00,5.889525687173842172e-01,1.360576242860324969e+00,4.221211794403054718e-01,6.535468113396344370e-01
8.700000000000001066e+00,1.475910342428531585e+00,5.915786644114354731e-01,1.367219792828907599e+00,4.233992408906444016e-01,6.558233719472704726e-01
8.800000000000000711e+00,1.482853515701129554e+00,5.938854323774642729e-01,1.374141008319240020e+00,4.242633180325770526e-01,6.575164889366496013e-01
8.900000000000000355e+00,1.488527361404807126e+00,5.965194058565194135e-01,1.381326106943572496e+00,4.252151181174603223e-01,6.584966625652638461e-01
9.000000000000000000e+00,1.497097323347735820e+00,5.992067203675992548e-01,1.388227518208206890e+00,4.260798948658290897e-01,6.604026783460764660e-01
9.099999999999999645e+00,1.504543553407799106e+00,6.021513990158615659e-01,1.395660019751662428e+00,4.270883866115530170e-01,6.623678181705558998e-01
9.200000000000001066e+00,1.512173847266184756e+00,6.049105017913516402e-01,1.402500953330467981e+00,4.282383576739839937e-01,6.638291656711206024e-01
9.300000000000000711e+00,1.519979176758646799e+00,6.073926020228436196e-01,1.408742856313138780e+00,4.285545758403500605e-01,6.649941566185867403e-01
9.400000000000000355e+00,1.523803022770521043e+00,6.090833071788744890e-01,1.413383628309792028e+00,4.283150011636384646e-01,6.655368350936380351e-01
9.500000000000000000e+00,1.530263024665122318e+00,6.101925571470845355e-01,1.417484371714566205e+00,4.283061720937297312e-01,6.662021520139959074e-01
9.600000000000001421e+00,1.537471673060030186e+00,6.113058040332411958e-01,1.421837962344407957e+00,4.288048034010227827e-01,6.675203597246388565e-01
9.700000000000001066e+00,1.543386361111706906e+00,6.126093902519836876e-01,1.427547504129802913e+00,4.303387176416336724e-01,6.693487992684266086e-01
9.800000000000000711e+00,1.551496642657789193e+00,6.141797109117919096e-01,1.433584141534867573e+00,4.325824134584290714e-01,6.724857092274089121e-01
9.900000000000000355e+00,1.558768249923377036e+00,6.160827904961314605e-01,1.439793101444497347e+00,4.342070446951110108e-01,6.748483246730104801e-01
1.000000000000000000e+01,1.565058969670005462e+00,6.183837202663092780e-01,1.446171108340578382e+00,4.358889804449194716e-01,6.769982595991996810e-01
1.010000000000000142e+01,1.569714548159693246e+00,6.210519738638082821e-01,1.453436008995139694e+00,4.376593083450500132e-01,6.786194812281476363e-01
1.020000000000000107e+01,1.578247696610854511e+00,6.240104564472425119e-01,1.461404258988592053e+00,4.395299328719864951e-01,6.806648958367831348e-01
1.030000000000000071e+01,1.584333558385739860e+00,6.274944977829610693e-01,1.470061603919020854e+00,4.414044659192150055e-01,6.824774733713390162e-01
1.040000000000000036e+01,1.593438268416910386e+00,6.306584745021982519e-01,1.478822397317092197e+00,4.431494114329688760e-01,6.847336830098834648e-01
1.050000000000000000e+01,1.602974864642066510e+00,6.328843438137197186e-01,1.485694077743612285e+00,4.442637674219929722e-01,6.861830974915043013e-01
